,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
504,Tyrick Mitchell,DEF,Crystal Palace,3.8,0,0,23,1,12.4,162,34,0,0,3.7,22.2,2021-09-11T11:30:00Z,90,17,0,0,0,0,4,0,43651,0,3,2.0,6,-5541,4370,9911,45,True,0,Spurs,2021-22,,,,,
505,Wayne Hennessey,GK,Burnley,-0.5,0,0,0,0,0.0,480,35,0,0,0.0,0.0,2021-09-13T19:00:00Z,0,8,0,0,0,0,4,0,18504,1,3,0.0,0,-1342,718,2060,45,False,0,Everton,2021-22,,,,,
507,Jack Harrison,MID,Leeds,1.5,0,0,9,0,35.6,267,36,2,0,4.9,9.6,2021-09-12T15:30:00Z,67,11,0,0,0,0,4,0,207649,3,0,4.0,2,-59137,12622,71759,59,True,0,Liverpool,2021-22,,,,,
509,Victor Lindelöf,DEF,Man Utd,1.7,0,0,0,0,0.0,284,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,14,0,0,0,0,4,0,50566,1,4,0.0,0,-12032,1955,13987,50,True,0,Newcastle,2021-22,,,,,
510,Jannik Vestergaard,DEF,Leicester,1.1,0,0,22,1,0.3,340,37,0,0,3.7,27.2,2021-09-11T14:00:00Z,60,12,0,0,0,0,4,0,58584,1,0,9.0,6,-21806,932,22738,49,True,0,Man City,2021-22,,,,,
511,Ayoze Pérez,MID,Leicester,0.0,0,0,0,0,0.0,211,37,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,12,0,0,0,0,4,0,9960,1,0,0.0,0,-4691,166,4857,59,True,0,Man City,2021-22,,,,,
512,Neal Maupay,FWD,Brighton,3.8,0,0,3,1,4.9,63,32,0,0,1.1,0.0,2021-09-11T14:00:00Z,90,3,0,0,0,0,4,0,184446,1,0,8.0,2,4603,58850,54247,65,False,0,Brentford,2021-22,,,,,
513,Danny Welbeck,FWD,Brighton,1.5,0,0,4,1,3.2,447,32,0,0,2.7,6.4,2021-09-11T14:00:00Z,63,3,0,0,0,0,4,0,12382,1,0,17.0,2,1735,3994,2259,60,False,0,Brentford,2021-22,,,,,
514,Tomas Soucek,MID,West Ham,4.3,0,0,11,1,5.6,422,39,0,0,2.9,9.0,2021-09-11T14:00:00Z,90,16,0,0,0,0,4,0,666116,0,0,14.0,3,-118714,33765,152479,60,False,0,Southampton,2021-22,,,,,
517,Romain Perraud,DEF,Southampton,2.2,0,0,20,1,15.4,460,39,0,0,3.0,12.8,2021-09-11T14:00:00Z,90,19,0,0,0,0,4,0,7469,0,0,2.0,6,-1680,301,1981,49,True,0,West Ham,2021-22,,,,,
518,Will Hughes,MID,Crystal Palace,-0.5,0,0,0,0,0.0,386,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,0,17,0,0,0,0,4,0,4405,0,3,0.0,0,-101,725,826,49,True,0,Spurs,2021-22,,,,,
519,Ben Davies,DEF,Spurs,0.5,0,0,-1,0,0.1,364,34,3,0,0.0,0.0,2021-09-11T11:30:00Z,30,7,0,0,0,0,4,0,20275,0,3,0.0,0,-1479,1846,3325,44,False,0,Crystal Palace,2021-22,,,,,
520,Nicolas Pépé,MID,Arsenal,3.7,1,0,22,1,84.7,17,31,0,0,21.7,40.2,2021-09-11T14:00:00Z,90,15,0,0,0,0,4,0,115338,0,1,92.0,6,-20455,24313,44768,72,True,0,Norwich,2021-22,,,,,
524,Granit Xhaka,MID,Arsenal,0.0,0,0,0,0,0.0,7,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,41136,0,1,0.0,0,-27550,541,28091,49,True,0,Norwich,2021-22,,,,,
527,Fabio Silva,FWD,Wolves,1.2,0,0,0,0,0.0,445,40,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,18,0,0,0,0,4,0,46171,2,0,0.0,0,-7736,4832,12568,59,False,0,Watford,2021-22,,,,,
528,Michail Antonio,FWD,West Ham,10.3,0,0,-6,1,3.4,413,39,0,0,4.3,1.0,2021-09-11T14:00:00Z,90,16,0,0,0,1,4,0,4273709,0,0,39.0,-1,795752,951754,156002,80,False,0,Southampton,2021-22,,,,,
530,Yves Bissouma,MID,Brighton,4.5,0,0,15,1,6.2,70,32,0,0,1.9,10.8,2021-09-11T14:00:00Z,90,3,0,0,0,0,4,0,1289130,1,0,2.0,3,69282,279686,210404,46,False,0,Brentford,2021-22,,,,,
531,Luke Ayling,DEF,Leeds,0.8,0,0,11,0,0.8,185,36,3,0,3.3,28.6,2021-09-12T15:30:00Z,90,11,0,0,0,0,4,0,983243,3,0,4.0,1,-44075,166243,210318,45,True,0,Liverpool,2021-22,,,,,
532,Mads Roerslev Rasmussen,DEF,Brentford,-0.2,0,0,7,0,0.2,89,32,1,0,0.5,5.2,2021-09-11T14:00:00Z,29,4,0,0,0,0,4,0,4518,1,0,0.0,1,-838,175,1013,44,True,0,Brighton,2021-22,,,,,
533,Jonny Evans,DEF,Leicester,-0.2,0,0,7,0,0.3,201,37,1,0,1.4,11.4,2021-09-11T14:00:00Z,29,12,0,0,0,0,4,0,10644,1,0,2.0,1,-1225,193,1418,54,True,0,Man City,2021-22,,,,,
534,Anthony Elanga,MID,Man Utd,1.0,0,0,0,0,0.0,512,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,14,0,0,0,0,4,0,1466,1,4,0.0,0,-264,123,387,49,True,0,Newcastle,2021-22,,,,,
535,Joe Rodon,DEF,Spurs,0.7,0,0,11,0,0.2,374,34,3,0,1.9,18.8,2021-09-11T11:30:00Z,78,7,0,0,0,0,4,0,5399,0,3,0.0,1,-952,269,1221,44,False,0,Crystal Palace,2021-22,,,,,
539,Jordan Pickford,GK,Everton,3.8,0,0,19,0,0.0,170,35,1,0,2.9,29.4,2021-09-13T19:00:00Z,90,5,0,0,0,0,4,5,603366,1,3,0.0,3,73210,143497,70287,50,True,0,Burnley,2021-22,,,,,
542,Bernd Leno,GK,Arsenal,2.0,0,0,0,0,0.0,1,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,153130,0,1,0.0,0,6564,35360,28796,49,True,0,Norwich,2021-22,,,,,
543,Kai Havertz,MID,Chelsea,4.8,0,0,7,1,12.9,141,33,0,0,3.0,8.8,2021-09-11T16:30:00Z,63,2,0,0,0,0,4,0,482326,0,3,8.0,3,-13271,83730,97001,83,True,0,Aston Villa,2021-22,,,,,
546,Leon Bailey,MID,Aston Villa,-0.2,0,0,4,0,11.3,492,33,1,0,1.8,4.2,2021-09-11T16:30:00Z,34,6,0,0,0,0,4,0,60644,0,3,2.0,1,-35823,2204,38027,64,False,0,Chelsea,2021-22,,,,,
547,Michael Olise,MID,Crystal Palace,-0.2,0,0,2,0,0.4,464,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,4,17,0,0,0,0,4,0,2063,0,3,0.0,1,-73,387,460,54,True,0,Spurs,2021-22,,,,,
548,Morgan Gibbs-White,MID,Wolves,0.0,0,0,0,0,0.0,440,40,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,18,0,0,0,0,4,0,25274,2,0,0.0,0,-8481,2371,10852,45,False,0,Watford,2021-22,,,,,
549,Jeff Hendrick,MID,Newcastle,-0.8,0,0,3,0,0.3,297,38,1,0,0.0,0.0,2021-09-11T14:00:00Z,5,13,0,0,0,0,4,0,3635,1,4,0.0,1,-397,297,694,49,False,0,Man Utd,2021-22,,,,,
550,Michael Keane,DEF,Everton,5.8,0,1,28,0,20.3,169,35,1,1,9.6,58.6,2021-09-13T19:00:00Z,90,5,0,0,0,0,4,0,188949,1,3,17.0,9,-6786,22059,28845,50,True,0,Burnley,2021-22,,,,,
554,Ryan Sessegnon,DEF,Spurs,0.4,0,0,0,0,0.0,368,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,0,7,0,0,0,0,4,0,9449,0,3,0.0,0,-1296,542,1838,44,False,0,Crystal Palace,2021-22,,,,,
