,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,position,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
78,Kevin_De Bruyne_215,0,0,2,1,35.6,215,265,0,0,6.5,6.2,2020-02-22T17:30:00Z,90,9,0,0,0,0,27,0,3983614,1.0,0.0,23.0,3,2424,85541,83117,108,False,0,Leicester,2019-20,,,,,,,,
79,Mohamed_Salah_191,0,0,27,0,15.3,191,266,2,1,17.5,47.2,2020-02-24T20:00:00Z,90,19,0,0,0,0,27,0,3334641,2.0,3.0,112.0,7,-6217,76200,82417,128,True,0,West Ham,2019-20,,,,,,,,
80,Sadio_Mané_192,0,1,33,0,12.3,192,266,2,1,14.5,45.4,2020-02-24T20:00:00Z,90,19,0,0,0,0,27,0,1679709,2.0,3.0,87.0,8,167760,201713,33953,123,True,0,West Ham,2019-20,,,,,,,,
81,Sadio_Mané_192,0,0,5,0,4.2,192,279,3,0,1.7,4.6,2020-02-29T17:30:00Z,90,18,0,0,0,0,28,0,1877529,0.0,3.0,8.0,2,135555,147564,12009,124,False,0,Watford,2019-20,,,,,,,,
82,Mohamed_Salah_191,0,0,5,0,3.3,191,279,3,0,3.3,0.0,2020-02-29T17:30:00Z,90,18,0,0,0,0,28,0,3382869,0.0,3.0,30.0,2,23476,57735,34259,128,False,0,Watford,2019-20,,,,,,,,
83,Sadio_Mané_192,1,3,39,0,28.6,192,286,1,1,12.5,56.2,2020-03-07T12:30:00Z,90,3,0,0,0,0,29,0,1792129,1.0,2.0,40.0,13,-15689,62841,78530,124,True,0,Bournemouth,2019-20,,,,,,,,
84,Mohamed_Salah_191,0,2,35,0,44.8,191,286,1,1,13.7,48.0,2020-03-07T12:30:00Z,90,3,0,0,0,0,29,0,3224071,1.0,2.0,44.0,9,-111721,29836,141557,128,True,0,Bournemouth,2019-20,,,,,,,,
85,Kevin_De Bruyne_215,0,0,0,0,0.0,215,287,0,0,0.0,0.0,2020-03-08T16:30:00Z,0,12,0,0,0,0,29,0,3529427,0.0,2.0,0.0,0,-142889,121867,264756,107,False,0,Man Utd,2019-20,,,,,,,,
86,Kevin_De Bruyne_215,0,0,0,0,0.0,215,275,0,0,0.0,0.0,2020-03-11T19:30:00Z,0,1,0,0,0,0,29,0,3529427,,,0.0,0,-142889,121867,264756,107,True,0,Arsenal,2019-20,,,,,,,,
87,Aaron Cresswell,0,0,11,0,11.2,435,6,2,0,2.2,10.4,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,70232,2.0,0.0,0.0,1,0,0,0,50,True,0,Newcastle,2020-21,DEF,West Ham,2.1,,,,,
88,Aaron Ramsdale,0,0,12,0,0.0,483,8,2,0,1.8,18.2,2020-09-14T17:00:00Z,90,20,0,0,0,0,1,2,462939,2.0,0.0,0.0,1,0,0,0,50,True,0,Wolves,2020-21,GK,Sheffield Utd,2.5,,,,,
89,Abdoulaye Doucouré,0,0,20,1,44.6,512,4,0,0,6.9,20.4,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,143040,1.0,0.0,4.0,3,0,0,0,55,False,0,Spurs,2020-21,MID,Everton,1.3,,,,,
90,Adam Webster,0,0,14,0,11.8,66,7,3,0,2.8,14.8,2020-09-14T19:15:00Z,90,5,0,0,0,0,1,0,187445,3.0,1.0,1.0,1,0,0,0,45,True,0,Chelsea,2020-21,DEF,Brighton,0.6,,,,,
91,Aleksandar Mitrović,0,0,3,0,0.3,184,2,0,0,1.0,3.0,2020-09-12T11:30:00Z,27,1,0,0,0,0,1,0,1435176,3.0,0.0,7.0,1,0,0,0,60,True,0,Arsenal,2020-21,FWD,Fulham,0.8,,,,,
92,Alexandre Lacazette,0,1,29,1,12.7,6,2,0,1,9.9,38.6,2020-09-12T11:30:00Z,86,8,0,0,0,0,1,0,196064,3.0,0.0,48.0,7,0,0,0,85,False,0,Fulham,2020-21,FWD,Arsenal,4.0,,,,,
93,Alexis Mac Allister,0,0,0,0,0.0,80,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,3939,3.0,1.0,0.0,0,0,0,0,55,True,0,Chelsea,2020-21,MID,Brighton,0.8,,,,,
94,Alex Iwobi,0,0,0,0,0.0,159,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,10789,1.0,0.0,0.0,0,0,0,0,60,False,0,Spurs,2020-21,MID,Everton,1.6,,,,,
95,Alisson Ramses Becker,0,0,9,0,0.0,252,3,3,0,0.4,3.8,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,721549,3.0,4.0,0.0,1,0,0,0,60,True,0,Leeds,2020-21,GK,Liverpool,5.5,,,,,
96,Allan Saint-Maximin,0,0,7,1,2.8,338,6,0,0,1.2,3.8,2020-09-12T19:00:00Z,74,19,0,0,0,0,1,0,1361562,2.0,0.0,5.0,3,0,0,0,55,False,0,West Ham,2020-21,MID,Newcastle,1.8,,,,,
97,Andrew Robertson,1,0,20,0,19.6,255,3,3,0,4.7,23.4,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,766431,3.0,4.0,4.0,4,0,0,0,70,True,0,Leeds,2020-21,DEF,Liverpool,5.1,,,,,
98,Angelo Ogbonna,0,0,14,0,1.1,432,6,2,0,3.7,30.0,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,25125,2.0,0.0,6.0,1,0,0,0,50,True,0,Newcastle,2020-21,DEF,West Ham,2.1,,,,,
